Es,Pt
de,de
la,a
que,que
el,o
en,em
y,e
a,a
los,os
se,se
del,do
las,as
un,um
por,por
con,com
no,não
una,uma
su,seu
para,para
es,é
al,ao
lo,o
como,como
más,mais
pero,mas
sus,seus
le,lhe
ha,tem
me,me
si,se
sin,sem
sobre,sobre
este,este
ya,já
entre,entre
cuando,quando
todo,todo
esta,esta
ser,ser
son,são
dos,dois
también,também
fue,foi
había,havia
era,era
muy,muito
hasta,até
desde,desde
está,está
mi,meu
porque,porque
qué,que
sólo,só
han,têm
yo,eu
hay,há
vez,vez
puede,pode
todos,todos
así,assim
nos,nos
ni,nem
parte,parte
tiene,tem
él,ele
uno,um
donde,onde
bien,bem
tiempo,tempo
mismo,mesmo
ese,esse
ahora,agora
cada,cada
vida,vida
otro,outro
después,depois
te,te
otros,outros
aunque,embora
esa,essa
eso,isso
hace,faz
otra,outra
gobierno,governo
tan,tão
durante,durante
siempre,sempre
día,dia
tanto,tanto
hombre,homem
parecer,parecer
poco,pouco
mujer,mulher
pueblo,povo
